Day(Local_Date),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa),ET05(C),ET10(C),Rad(MJ/m2),SoilM(%)
2024/05/24,-,-,-,6.0,11.3,16.1,6.5,8.1,12.0,-,14.0,8.15,46.5
2024/05/25,-,-,-,4.2,10.9,15.6,6.2,7.7,11.1,-,13.6,8.8,51.1
2024/05/26,-,-,-,3.8,13.8,16.3,11.3,10.2,12.1,-,13.8,7.75,50.8
2024/05/27,-,-,-,1.4,12.4,16.0,8.8,8.2,11.8,-,13.7,7.05,49.9
2024/05/28,-,-,-,14.0,11.0,15.3,6.7,7.1,10.8,-,13.2,7.26,49.9
2024/05/29,-,-,-,21.0,11.5,14.9,8.2,6.5,10.5,-,12.5,6.86,51.9
2024/05/30,-,-,-,0.2,13.3,16.1,10.4,8.2,11.2,-,12.3,7.43,51.2
2024/05/31,-,-,-,0.0,14.2,18.1,10.3,9.9,12.7,-,13.5,9.27,50.8
2024/06/01,-,-,-,0.0,14.2,18.0,10.3,8.6,12.9,-,13.7,8.84,50.0
2024/06/02,-,-,-,0.0,14.5,17.9,11.2,10.9,15.1,-,14.4,5.05,49.5
2024/06/03,-,-,-,0.0,12.7,18.3,7.1,7.6,13.7,-,14.6,7.59,49.2
2024/06/04,-,-,-,0.0,10.5,15.6,5.3,6.7,11.7,-,13.6,4.95,47.2
2024/06/05,-,-,-,0.0,14.0,16.3,11.8,10.9,11.7,-,13.9,4.39,46.9
2024/06/06,-,-,-,0.2,13.9,16.5,11.2,11.2,12.0,-,14.1,4.75,46.6
2024/06/07,-,-,-,0.4,12.7,16.1,9.3,9.4,13.9,-,14.3,2.88,46.4
2024/06/08,-,-,-,3.2,14.6,16.8,12.4,12.8,16.1,-,15.1,2.02,46.6
2024/06/09,-,-,-,10.0,16.7,19.0,14.4,14.2,16.2,-,15.4,1.53,48.2
2024/06/10,-,-,-,13.6,15.4,19.0,11.7,11.6,16.6,-,16.3,6.32,51.4
2024/06/11,-,-,-,0.2,11.6,16.3,6.9,7.5,11.9,-,14.9,7.15,49.8
2024/06/12,-,-,-,0.0,9.8,14.1,5.5,6.5,10.8,-,13.9,4.87,48.9
2024/06/13,-,-,-,8.4,11.7,16.5,6.9,8.7,12.6,-,14.0,3.63,48.5
2024/06/14,-,-,-,34.8,14.4,18.0,10.8,11.6,15.3,-,15.2,5.66,51.0
2024/06/15,-,-,-,0.4,11.5,15.9,7.2,6.7,10.9,-,13.6,8.01,51.3
2024/06/16,-,-,-,43.2,11.1,17.8,4.4,4.9,12.1,-,12.9,6.32,50.3
2024/06/17,-,-,-,1.8,13.7,16.9,10.5,10.1,14.0,-,14.1,5.91,51.1
2024/06/18,-,-,-,0.2,14.0,16.7,11.3,11.0,14.0,-,14.4,6.3,50.4
2024/06/19,-,-,-,2.4,13.7,15.2,12.2,12.1,12.4,-,14.2,3.18,49.8
2024/06/20,-,-,-,0.8,13.6,16.2,11.0,10.2,11.0,-,13.6,8.4,49.4
2024/06/21,-,-,-,4.2,13.8,16.8,10.7,9.0,11.2,-,13.7,9.91,50.5
2024/06/22,-,-,-,6.8,12.2,15.6,8.8,9.2,12.5,-,13.6,3.75,50.1
2024/06/23,-,-,-,16.8,11.4,17.0,5.7,6.3,13.2,-,14.1,4.81,51.0
2024/06/24,-,-,-,0.0,9.6,14.8,4.4,5.5,12.1,-,12.8,4.02,50.8
2024/06/25,-,-,-,1.0,12.7,16.4,8.9,8.9,12.0,-,13.3,8.45,50.1
2024/06/26,-,-,-,0.0,12.8,15.9,9.6,8.5,11.3,-,13.0,9.72,49.5
2024/06/27,-,-,-,0.0,11.3,17.5,5.1,5.4,10.7,-,12.5,9.75,49.0
2024/06/28,-,-,-,0.0,9.1,16.4,1.8,2.8,9.1,-,11.4,10.0,49.0
2024/06/29,-,-,-,0.0,9.3,15.5,3.0,3.4,10.6,-,11.1,6.43,48.7
